cntr_01,dist_x,pang_x,ra_01,dec_01,ra,dec,clon,clat,mjd,w1mpro,w1sigmpro,w2mpro,w2sigmpro,qual_frame,cc_flags,name
38,0.035442,170.156256,146.6866,32.69539,146.686602,32.6953803,09h46m44.78s,32d41m43.37s,58068.82580765,13.373,0.039,12.132,0.049,10,0000,P21417
38,0.036467,59.770085,146.6866,32.69539,146.6866104,32.6953951,09h46m44.79s,32d41m43.42s,57862.96475793,13.336,0.034,12.142,0.041,5,0000,P21417
38,0.037163,23.035503,146.6866,32.69539,146.6866048,32.6953995,09h46m44.79s,32d41m43.44s,58223.53232711,13.306,0.035,12.111,0.044,10,0000,P21417
38,0.037552,-129.964632,146.6866,32.69539,146.6865905,32.6953833,09h46m44.78s,32d41m43.38s,57502.88975649,13.404,0.034,12.034,0.04,5,0000,P21417
38,0.037699,67.544007,146.6866,32.69539,146.6866115,32.695394,09h46m44.79s,32d41m43.42s,59318.64184771,13.342,0.036,12.055,0.037,5,0000,P21417
38,0.039245,-179.115345,146.6866,32.69539,146.6865998,32.6953791,09h46m44.78s,32d41m43.36s,59326.0275798,13.305,0.038,12.035,0.066,10,0000,P21417
38,0.039297,-3.093527,146.6866,32.69539,146.6865993,32.6954009,09h46m44.78s,32d41m43.44s,59528.45938144,13.285,0.038,12.013,0.041,5,0000,P21417
38,0.041228,146.049846,146.6866,32.69539,146.6866076,32.6953805,09h46m44.79s,32d41m43.37s,58954.43372192,13.291,0.034,12.103,0.041,5,0000,P21417
38,0.041366,-110.371807,146.6866,32.69539,146.6865872,32.695386,09h46m44.78s,32d41m43.39s,58223.13961663,13.303,0.039,12.103,0.039,10,0000,P21417
38,0.042722,-80.297655,146.6866,32.69539,146.6865861,32.695392,09h46m44.78s,32d41m43.41s,58223.99087155,13.362,0.038,12.032,0.033,5,0000,P21417
38,0.043014,-71.960806,146.6866,32.69539,146.6865865,32.6953937,09h46m44.78s,32d41m43.42s,59318.51056243,13.222,0.046,12.036,0.044,10,0000,P21417
38,0.043125,-153.281162,146.6866,32.69539,146.6865936,32.6953793,09h46m44.78s,32d41m43.37s,59164.04535755,13.302,0.036,12.044,0.04,10,0000,P21417
38,0.043766,-174.438645,146.6866,32.69539,146.6865986,32.6953779,09h46m44.78s,32d41m43.36s,60414.29268922,13.139,0.032,11.928,0.037,5,h000,P21417
