group,name,umap_x,umap_y,t_change,sign,step,s,year_change
SampleA Turn-off,8247,20.25603,6.8717303,57259.49067884,-1.0,0.35338841959220946,-1.0215765908301817,2015.6467917285147
SampleA Turn-off,8248,19.941875,6.0202036,57255.881889962504,-1.0,0.26505957849265344,-0.9109638334918949,2015.6369114030458
SampleA Turn-off,8249,11.8151,3.8406982,56896.123759825,-1.0,0.5427099780234032,0.44216616884640236,2014.6519473232718
SampleA Turn-off,8250,12.654748,3.312882,56733.3629776625,-1.0,0.23398818196886137,0.3595829191131694,2014.2063325877139
SampleA Turn-off,8251,19.564201,5.591525,57512.9149516925,1.0,0.11267949716915975,-0.8232016812821291,2016.3406295734223
SampleA Turn-on,8252,13.014716,6.8975973,58718.67762040249,-1.0,0.2209496209663959,0.03458100975680432,2019.6418278450444
SampleA Turn-off,8253,21.16055,8.715285,56912.6171306325,-1.0,0.29065100147634826,-1.2938394504518054,2014.6971037115195
SampleA Turn-on,8254,11.332443,2.8322804,56737.2583522875,-1.0,0.2310994405000517,0.5893231043164883,2014.216997542197
SampleA Turn-on,8259,12.729089,5.592442,58107.1500932675,-1.0,0.05233773729178528,0.17549637361782489,2017.967556723525
SampleA Turn-on,8165,17.14113,2.27304,57041.8984602475,1.0,0.3153208285606817,-0.2169635932289716,2015.0510567015674
SampleA Turn-on,8177,16.03135,2.698533,57513.3065141825,-1.0,0.12657099910627212,-0.08713228594232857,2016.3417016130938
SampleA Turn-on,8195,12.61864,6.398822,,,,0.13035876264090343,
SampleA Turn-off,8213,16.696516,1.8973782,57954.3970915975,1.0,0.18901683992315133,-0.12344870386946048,2017.5493417976659
SampleA Turn-on,8216,12.3949585,5.2843056,58126.3776509,1.0,0.11750429653635897,0.2477358212051764,2018.0201989073237
SampleA other,119,20.792734,2.2612145,57438.822566345,1.0,0.12756493060663163,-0.7496486618670406,2016.1377756778782
SampleA other,162,21.630949,3.5998085,58709.421627655,-1.0,0.19430131198180345,-0.9738509004903719,2019.616486318015
SampleA other,7198,13.281174,1.1920857,56113.949564915005,1.0,0.285625014072053,0.42920677720368633,2012.510471088063
