umap_x,umap_y,label
-9.367876,4.4926887,2
-0.18145776,7.9549217,1
1.0006402,9.157918,2
-6.7981634,8.081697,192
2.7713432,14.694337,4
-6.6686997,2.4852788,2
-2.5623784,7.9481187,1
-9.448484,4.990302,1
-5.1840034,6.484317,1
2.8370934,14.026733,2
0.3393395,9.300603,2
-5.877622,6.4574604,1
-8.291123,4.2111387,1
8.60055,13.629912,4
-8.104801,2.4367762,1
-4.574685,7.072574,1
2.4861014,9.593024,1
-6.014838,11.361183,1
-7.688106,5.824786,1
1.9714892,9.137784,2
-5.6456447,4.0067034,1
4.326768,10.766456,1
-7.6166964,8.290085,832
-8.035697,8.617617,1
3.6529899,11.469974,66
-4.639307,5.383459,65
-9.632707,8.662444,2
0.67517143,12.5924,833
-2.5320432,8.571518,1
9.198045,15.19308,2048
-7.1710773,2.346316,2
3.6225462,8.892195,2
2.1301043,9.782518,1
2.8114755,10.485291,2
7.782186,19.49182,192
7.22275,15.973977,1
-3.5451272,6.1912985,1
6.4097023,15.375894,192
-2.3461087,5.416472,2
-8.192337,7.359281,1
-1.2300298,13.7042055,32
-2.361315,7.960255,192
-2.969709,4.2614646,1
1.6980494,11.158218,2
-10.307008,6.1499043,1
-3.4985273,2.6205838,1
-10.506042,5.105566,1
-6.7809525,7.0235553,1
-7.1939135,6.8149047,1
1.1003956,9.908824,1
-9.514469,6.8933115,1
-8.392487,4.776798,1
7.1742525,19.120771,4
0.67446816,11.573229,1
1.5256774,9.645587,66
-8.966705,5.231408,1
-3.590164,9.607733,1
-7.5559897,5.18137,4
-2.044785,13.212426,32
-1.2091484,5.908555,1
-3.302698,12.167386,32
2.5966954,11.442622,192
3.2963881,13.768885,1
-4.69851,5.876798,2
-3.7049527,8.860764,65
-1.8548434,8.063895,2
2.8874493,13.386009,832
-2.8043292,3.3067849,832
-7.855152,8.577263,192
-7.742819,9.294705,32
-10.702703,5.706119,1
-3.2222748,11.510634,16
-4.986427,5.757459,1
-5.0585885,4.847692,1
0.34318727,13.992844,2
4.582335,13.660261,2
-3.5604858,2.5538256,2048
-4.4536304,2.850832,16
-8.159902,6.769565,1
-5.2579927,4.339313,1
-6.830803,11.168442,32
-10.993337,6.0075455,1
6.858022,12.984531,2
-8.82763,4.6122336,2
-9.835129,6.505216,192
-7.9786987,8.728471,1
4.7708793,12.528959,2
7.4767513,17.477238,1
-4.679678,5.9830394,1
-2.67212,12.554253,32
-7.393896,10.630505,1
4.1336536,10.615777,192
-9.107032,6.644035,832
-10.298998,5.6960416,1
0.5595475,9.926553,2
6.038216,13.984429,2
-3.203329,5.103713,1
-8.295122,8.728278,65
-0.11569643,11.962976,2
-8.461538,2.6865706,1
-3.5217803,8.005887,1
-5.3474693,8.291148,1
-5.6395273,3.2445655,1
6.3336754,13.471468,1344
-8.313581,6.687326,832
-7.754483,7.751568,8
8.362855,13.36332,1
-6.1977897,4.716226,65
0.7075336,13.636745,8
-1.8205676,7.335278,192
-5.1498704,3.9055674,1
-6.5061636,6.7832365,1
-2.786996,8.215676,832
-7.3267,2.1856043,1
-0.7966465,8.735637,4
-9.316757,8.369251,2
4.7617207,8.842683,2
-7.2551227,3.8550105,1
-6.357522,6.995241,192
-2.891125,4.7398105,80
7.89141,19.404572,192
6.891366,14.783816,8
-5.3404093,10.795753,832
2.6736503,11.226844,1
2.1523736,14.724158,192
8.603886,14.180802,8
-4.550076,10.156394,65
-6.207493,4.8077397,1
1.0536857,12.810293,2
9.4163,17.833672,4
1.5366414,11.259988,1344
5.4538374,15.195922,1
-10.350256,7.295198,192
-3.1813176,7.8884587,192
-2.022295,7.7853703,1
-3.703717,9.390277,1
-10.041139,4.2317624,832
-1.3874531,7.145671,2
-8.625124,5.9000216,1
-1.2341428,6.9122014,2
-1.8027592,5.62591,80
2.3197403,11.688528,192
-5.6598988,10.225339,2
-5.263509,3.1711845,1
-1.4379308,9.926179,2
-8.637632,6.853685,1
-6.345099,6.3236146,65
3.7849314,8.0399475,1
-10.347744,4.879199,1
0.87349266,6.676537,2
-4.462077,4.3606386,1
-6.6699505,7.997717,1
2.1376162,13.214056,16
-7.7289824,3.6343231,1
-8.31103,3.876365,1
2.9819016,11.985669,834
-7.630483,10.892827,1
-0.59566605,13.941003,2
-7.8499293,5.375148,1
9.782811,17.12413,8
-0.9843552,10.432977,2
4.03586,9.231754,2
-6.7095833,9.399407,1
8.027728,12.616205,2048
7.406327,17.315676,1
-3.159894,12.489203,2
-10.223373,5.925109,1
5.1235404,11.97988,1
0.26809904,10.469135,32
4.3878083,9.427851,832
-6.8720345,9.75003,1
-9.871964,4.1154594,1
-8.521903,8.579992,1
-11.217263,6.9796567,832
-1.484072,8.185159,2
0.014465782,7.421247,192
7.323554,18.740627,4
-3.525923,7.3153615,65
7.4716716,17.344,1
-4.3909025,4.584558,1
-5.861707,9.330446,1
-3.3474944,6.007087,1
5.0829854,9.585534,66
-2.6157672,5.059081,192
-6.5016713,7.6827602,1
1.4096081,12.706022,2
-0.32126623,9.157556,832
-0.8692315,13.676707,1
0.002092043,13.665394,32
7.514691,17.146564,1344
-5.894353,7.216243,65
-6.994567,9.341738,48
-7.25201,6.287484,1
4.7384224,10.754151,832
-9.866694,4.9640555,8
6.007176,12.929737,192
1.7216927,10.611325,1
-8.141738,5.448125,65
-8.672461,8.273406,1
-3.2908719,10.479904,1
-10.208107,7.190075,832
-7.806206,8.384087,1
1.569315,14.332264,192
-1.4519155,11.532365,32
-0.09196831,13.403767,2
-7.1662364,8.624676,1
-6.816476,10.601653,1
3.93392,11.775907,2
2.1835442,11.041645,1
-6.3222966,8.862099,1344
-7.4892273,5.5975175,192
9.65672,17.361593,1
-3.027801,3.5407183,192
4.167912,13.750989,192
-6.1704125,6.1833115,1
-5.501008,11.789143,32
-10.299051,6.6772275,1
4.2949414,8.37982,2
-3.286197,3.6122503,832
2.0897875,10.828586,1
-9.04178,6.795413,1
-6.703302,10.377248,2
-4.7251716,7.704832,1376
-3.6681144,3.6859286,16
-5.309743,10.60765,1
-2.7620997,4.935072,1
-5.5003076,6.0258207,1
-9.201337,7.9719687,65
7.642184,15.775004,192
2.7436712,10.287979,2
-6.0023074,2.1778123,32
-9.289394,8.668897,2
-0.14108226,10.311852,192
-0.54980636,8.35942,2
10.097795,17.053398,8
7.254756,16.734222,2
