name,ra_01,dec_01,ra,dec,dist_x,mjd,w1mpro,w1sigmpro,w2mpro,w2sigmpro,qual_frame,cc_flags
P1823,245.16306,43.137382,245.1630233,43.1373418,0.173893,57955.87696346,14.478,0.066,13.191,0.164,10,0000
P1823,245.16306,43.137382,245.1630767,43.1373877,0.048432,57955.942415,14.475,0.1,13.217,0.088,10,0000
P1823,245.16306,43.137382,245.1630063,43.1373835,0.141172,57956.00786663,14.541,0.076,13.297,0.074,10,0000
P1823,245.16306,43.137382,245.163086,43.1372929,0.327951,57956.07331826,14.503,0.064,12.898,0.096,5,0000
P1823,245.16306,43.137382,245.1630677,43.1373236,0.211211,57956.13876985,14.524,0.073,13.248,0.074,10,0000
P1823,245.16306,43.137382,245.1629148,43.1373618,0.388307,57956.20422139,14.374,0.074,13.366,0.077,5,0000
P1823,245.16306,43.137382,245.1630219,43.1374303,0.200629,57956.20434875,14.529,0.077,13.243,0.075,10,0000
P1823,245.16306,43.137382,245.1630195,43.1373735,0.110706,57956.26980029,14.551,0.093,13.139,0.069,10,0000
P1823,245.16306,43.137382,245.1630344,43.1373007,0.300307,57956.33525188,14.628,0.075,13.224,0.072,10,0000
P1823,245.16306,43.137382,245.1629523,43.1373823,0.282928,57956.40070351,14.591,0.073,13.253,0.098,10,0000
P1823,245.16306,43.137382,245.1629786,43.1375255,0.559108,57956.46615503,14.642,0.078,13.222,0.087,10,0000
P1823,245.16306,43.137382,245.1630798,43.1373598,0.095356,57956.53160667,14.453,0.067,13.151,0.092,10,0000
P1823,245.16306,43.137382,245.1629135,43.1373553,0.396674,57956.59705825,14.648,0.074,13.122,0.067,10,0000
P1823,245.16306,43.137382,245.1630669,43.1373653,0.062793,57956.66250984,14.447,0.103,13.133,0.076,10,0000
P1823,245.16306,43.137382,245.16292,43.1375156,0.60546,57956.79354042,14.582,0.069,13.139,0.069,10,0000
P1823,245.16306,43.137382,245.163042,43.1373269,0.203918,57956.92444368,14.637,0.082,13.213,0.073,10,0000
P1823,245.16306,43.137382,245.1629693,43.1374043,0.251428,58153.45525939,14.611,0.07,13.093,0.07,5,0000
P1823,245.16306,43.137382,245.1632235,43.1373432,0.451653,58153.58616343,14.81,0.086,13.134,0.099,0,0000
P1823,245.16306,43.137382,245.1629021,43.13739,0.415799,58153.71706747,14.485,0.066,13.307,0.091,10,0000
P1823,245.16306,43.137382,245.1628509,43.1373673,0.551845,58153.84797206,14.779,0.077,13.407,0.113,0,0000
P1823,245.16306,43.137382,245.1632137,43.1373615,0.410456,58153.91342406,14.492,0.074,12.959,0.079,5,0000
P1823,245.16306,43.137382,245.1632197,43.1373677,0.422675,58153.9788761,14.623,0.072,12.797,0.072,10,0000
P1823,245.16306,43.137382,245.1630999,43.1373782,0.105705,58154.04432809,14.621,0.071,13.192,0.075,10,0000
P1823,245.16306,43.137382,245.1631757,43.1374153,0.326729,58154.10978014,14.557,0.072,13.373,0.113,10,0000
P1823,245.16306,43.137382,245.1629833,43.1374841,0.419164,58154.24068412,14.447,0.093,13.188,0.072,10,0000
P1823,245.16306,43.137382,245.1630667,43.1374808,0.356115,58154.30613611,14.442,0.063,13.266,0.102,10,0000
P1823,245.16306,43.137382,245.1630814,43.1373578,0.103684,58154.3715881,14.462,0.076,13.12,0.092,10,0000
P1823,245.16306,43.137382,245.1629266,43.1373627,0.35726,58154.4370401,14.581,0.074,13.279,0.096,10,0000
P1823,245.16306,43.137382,245.1630242,43.1376826,1.086239,58154.50249209,14.988,0.114,13.244,0.08,10,0000
P1823,245.16306,43.137382,245.1630659,43.1373593,0.083177,58154.56794413,14.417,0.07,13.187,0.078,10,0000
P1823,245.16306,43.137382,245.1630281,43.137429,0.188815,58154.63339617,14.514,0.07,13.169,0.079,10,0000
P1823,245.16306,43.137382,245.1629608,43.1374589,0.380198,58154.69884817,14.57,0.078,13.27,0.077,10,0000
P1823,245.16306,43.137382,245.1629689,43.1373798,0.239449,58154.76430021,14.513,0.077,13.093,0.067,10,0000
P1823,245.16306,43.137382,245.1629537,43.1376137,0.879622,58154.82975225,14.531,0.085,12.927,0.08,5,0000
P1823,245.16306,43.137382,245.1629874,43.1373412,0.240723,58154.89520429,14.575,0.074,13.271,0.077,10,0000
P1823,245.16306,43.137382,245.1631142,43.1374707,0.349625,58154.96065633,14.582,0.073,13.115,0.101,10,0000
P1823,245.16306,43.137382,245.1629637,43.1374424,0.333584,58155.09156363,14.616,0.084,13.213,0.086,10,0000
P1823,245.16306,43.137382,245.1630287,43.1372891,0.344399,58155.22246779,14.497,0.089,13.325,0.09,10,0000
P1823,245.16306,43.137382,245.1629454,43.1373042,0.41119,58156.99018339,14.614,0.08,13.098,0.076,10,0000
P1823,245.16306,43.137382,245.1629603,43.1373231,0.336983,58157.0556355,14.556,0.073,13.12,0.096,10,0000
P1823,245.16306,43.137382,245.1629542,43.1373901,0.27946,58157.12108759,14.515,0.088,13.097,0.079,10,0000
P1823,245.16306,43.137382,245.162938,43.1374003,0.327192,58157.1865397,14.634,0.095,13.406,0.095,10,0000
P1823,245.16306,43.137382,245.1630523,43.1373533,0.105281,58157.25199175,14.618,0.097,13.247,0.116,10,0000
P1823,245.16306,43.137382,245.1629853,43.1374871,0.426221,58157.31744385,14.751,0.104,13.163,0.079,10,0000
P1823,245.16306,43.137382,245.162973,43.1373471,0.260805,58157.3828959,14.611,0.071,13.223,0.094,10,0000
P1823,245.16306,43.137382,245.1630551,43.1373793,0.01613,58157.44834801,14.613,0.076,13.158,0.092,10,0000
